역번호,역사명,노선명,환승역구분,환승노선명,역사도로명주소,위도,경도
0409,반여농산물시장,부산 경량도시철도 4호선,일반역,,부산광역시 해운대구 반송로 550,35.217787022,129.124030655
0410,석대,부산 경량도시철도 4호선,일반역,,부산광역시 해운대구 석대천로 121,35.218112757,129.136827101
0411,영산대,부산 경량도시철도 4호선,일반역,,부산광역시 해운대구 반송로 803,35.225619646,129.146160648
0412,윗반송,부산 경량도시철도 4호선,일반역,,부산광역시 해운대구 반송로 917,35.232422530,129.153806222
0413,고촌,부산 경량도시철도 4호선,일반역,,부산광역시 기장군 철마면 반송로 991,35.235974769,129.160451214
0414,안평,부산 경량도시철도 4호선,일반역,,부산광역시 기장군 철마면 반송로 1101,35.237533125,129.172088139
8001,부전역,동해선,일반역,,부산광역시 부산진구 부전로 181,35.164921866,129.059865621
8002,거제해맞이역,동해선,일반역,,부산광역시 연제구 거제동 619-1,35.182311447260325,129.06933726668598
8003,거제역,동해선,환승역,부산 도시철도 3호선,부산광역시 연제구 거제동 419-2,35.18959100031097,129.07431678283126
8004,교대역,동해선,환승역,부산 도시철도 1호선,부산시 연제구 중앙대로 1196,35.193742246,129.079552515
8005,동래역,동해선,일반역,,부산광역시 동래구 낙민동 130-4,35.197171381512035,129.09128631789196
8006,안락역,동해선,일반역,,부산광역시 동래구 안락동 201-2,35.19603942148936,129.1016851593546
8007,재송역,동해선,일반역,,부산시 해운대구 해운대로 100,35.188225147,129.120431151
8008,센텀역,동해선,일반역,,부산시 해운대구 해운대로 210,35.179468950,129.124560107
8009,벡스코역,동해선,환승역,부산 도시철도 2호선,부산광역시 해운대구 우동 1111-2,35.17129702459644,129.13651984516582
8010,신해운대역,동해선,일반역,,부산시 해운대구 장산로 427,35.181694663,129.177031996
8011,송정역,동해선,일반역,,부산시 해운대구 해운대로 1147,35.187656072,129.202119845
8012,오시리아역,동해선,일반역,,부산광역시 기장군 기장읍 당사리 261-8,35.19630780012564,129.20877934708523
8013,기장역,동해선,일반역,,부산시 기장군 기장읍 차성로288번길 86,35.243815696,129.218736072
8014,일광역,동해선,일반역,,부산광역시 기장군 일광읍 이천리 750-4,35.26744938601336,129.23307958779256
8015,부산원동역,동해선,일반역,,부산시 동래구 안락동 52-2,35.201374476,129.094539541
8016,좌천역,동해선,일반역,,부산시 기장군 장안읍 좌천리 239-4,35.31180044955114,129.2452795469914
8017,월내역,동해선,일반역,,부산시 기장군 장안읍 월내리 141-4,35.32626755030201,129.275336402008
8018,서생역,동해선,일반역,,울산시 울주군 서생면 화산리 1228-5,35.34548051925201,129.2931457039023
8019,남창역,동해선,일반역,,울산시 울주군 온양읍 남창리 42-36,35.41851079869584,129.2825534288634
8020,망양역,동해선,일반역,,울산시 울주군 온양읍 망양리 484-1,35.4568309797886,129.28785827991697
8021,덕하역,동해선,일반역,,울산시 울주군 청량읍 상남리 533-15,35.493578198421034,129.30352643038646
8022,개운포역,동해선,일반역,,울산광역시 남구 상개동 97-1,35.507860987546024,129.3212896620817
8023,태화강역,동해선,일반역,,울산광역시 남구 산업로 654,35.538355061,129.353667096
